id,common_name,observed_on,place_guess,location,quality_grade,annotation_summary,url
267124187,Atlantic Menhaden,2022-09-20 13:14:00-04:00,"Sea Bright Beach, Sea Bright, NJ 07760, USA","[40.3627164, -73.9724701]",research,,https://www.inaturalist.org/observations/267124187
266802011,Atlantic Menhaden,2020-12-22 14:09:00-05:00,"Galloway, NJ, USA","[39.4590242296, -74.4355254427]",research,,https://www.inaturalist.org/observations/266802011
266799649,Atlantic Menhaden,2020-12-06 11:04:00-05:00,"Barnegat Light, NJ, USA","[39.7584198731, -74.0947765563]",research,,https://www.inaturalist.org/observations/266799649
256389839,Atlantic Menhaden,2024-09-13 10:40:00-04:00,"Cape May, NJ, USA","[38.9285698, -74.933531]",research,Life Stage: Adult,https://www.inaturalist.org/observations/256389839
255425238,Atlantic Menhaden,2024-05-19 10:03:00-04:00,"Cape May County, NJ, USA","[38.9646987585, -74.9655049657]",research,"Life Stage: Adult, Alive or Dead: Dead",https://www.inaturalist.org/observations/255425238
253221403,Atlantic Menhaden,2024-11-25 11:14:28-05:00,"Barnegat Light, NJ, USA","[39.7531661944, -74.1023406944]",research,,https://www.inaturalist.org/observations/253221403
252216611,Atlantic Menhaden,2024-11-18 15:00:27-05:00,"North Atlantic Ocean, NJ, US","[39.9310416667, -74.0715111667]",research,Alive or Dead: Dead,https://www.inaturalist.org/observations/252216611
251731662,Atlantic Menhaden,2024-11-10 09:56:00-05:00,"Cape May County, NJ, USA","[38.9660156097, -74.9703410232]",research,,https://www.inaturalist.org/observations/251731662
251387721,Atlantic Menhaden,2024-11-09 17:56:09-05:00,"Sea Girt, NJ 08750, USA","[40.1383778, -74.0277179997]",research,,https://www.inaturalist.org/observations/251387721
249947014,Atlantic Menhaden,2024-10-26 13:52:44-04:00,"Port Republic, NJ, USA","[39.5178744997, -74.4950531]",research,,https://www.inaturalist.org/observations/249947014
249021857,Atlantic Menhaden,2024-10-24 11:11:56-04:00,"Manasquan River, Manasquan, NJ, US","[40.1062305, -74.0382]",research,,https://www.inaturalist.org/observations/249021857
249020165,Atlantic Menhaden,2024-10-24 11:11:56-04:00,"Manasquan River, Manasquan, NJ, US","[40.1062305, -74.0382]",research,,https://www.inaturalist.org/observations/249020165
246865117,Atlantic Menhaden,2024-10-11 16:07:58-04:00,United States,"[40.170895905, -74.1202967062]",research,,https://www.inaturalist.org/observations/246865117
246635506,Atlantic Menhaden,2024-10-10 11:06:01-04:00,"Port Norris, NJ 08349, USA","[39.2953871246, -75.1234321296]",research,,https://www.inaturalist.org/observations/246635506
245832576,Atlantic Menhaden,2024-09-21 13:00:21-04:00,"Shell Pile, Wildwood, NJ, US","[38.9498633378, -74.8568534823]",research,,https://www.inaturalist.org/observations/245832576
245290758,Atlantic Menhaden,2024-10-02 16:09:57-04:00,"Lower Township, NJ, USA","[38.9549527778, -74.908975]",research,,https://www.inaturalist.org/observations/245290758
245290054,Atlantic Menhaden,2024-10-02 16:10:28-04:00,"Cape May Harbor, Cape May, NJ, US","[38.9452663204, -74.9001525623]",research,,https://www.inaturalist.org/observations/245290054
245173079,Atlantic Menhaden,2024-09-24,"Lower Township, NJ, USA","[38.9606333333, -74.9599388889]",research,Alive or Dead: Dead,https://www.inaturalist.org/observations/245173079
244809204,Atlantic Menhaden,2024-09-24 10:31:56-04:00,"Cape Island, Cape May, NJ, US","[38.960605, -74.9599916667]",research,,https://www.inaturalist.org/observations/244809204
244394019,Atlantic Menhaden,2024-09-27 16:31:12-04:00,"Bayshore, Sayreville, NJ, US","[40.4763416667, -74.2669966667]",research,,https://www.inaturalist.org/observations/244394019
244060540,Atlantic Menhaden,2024-09-22 10:52:46-04:00,"Little Egg Harbor Township, NJ 08087, USA","[39.5389417, -74.3255699997]",research,,https://www.inaturalist.org/observations/244060540
243176837,Atlantic Menhaden,2024-09-21 14:21:44-04:00,"Gateway National Recreation Area, Highlands, NJ, US","[40.45118, -74.0020611167]",research,,https://www.inaturalist.org/observations/243176837
241999817,Atlantic Menhaden,2023-05-17 03:21:00-04:00,"Sandy Hook, Middletown Township, NJ, USA","[40.4686913454, -73.99848593]",research,,https://www.inaturalist.org/observations/241999817
240807714,Atlantic Menhaden,2024-08-25 15:31:00-04:00,Villas Beach,"[39.0278142872, -74.9431141368]",research,,https://www.inaturalist.org/observations/240807714
239945363,Atlantic Menhaden,2024-09-05 07:13:43-04:00,"Cape Island, Cape May, NJ, US","[38.9359859293, -74.9421917457]",research,,https://www.inaturalist.org/observations/239945363
239898288,Atlantic Menhaden,2024-09-04 19:34:26-04:00,"Stephan Ave, Toms River, NJ, US","[40.0045916667, -74.1170195]",research,,https://www.inaturalist.org/observations/239898288
239881137,Atlantic Menhaden,2024-09-04 19:35:20-04:00,"Stephan Ave, Toms River, NJ, US","[40.0045929988, -74.1170546242]",research,,https://www.inaturalist.org/observations/239881137
239315352,Atlantic Menhaden,2024-08-29 13:30:42-04:00,United States,"[40.165863824, -74.0257488702]",research,,https://www.inaturalist.org/observations/239315352
238495553,Atlantic Menhaden,2024-08-20 10:40:00-04:00,"Lower Township, NJ, USA","[38.9339401113, -74.9582895819]",research,Alive or Dead: Dead,https://www.inaturalist.org/observations/238495553
236788261,Atlantic Menhaden,2024-08-19 16:23:26-04:00,"Shark River, Belmar, NJ, US","[40.1815633333, -74.0302195]",research,Alive or Dead: Dead,https://www.inaturalist.org/observations/236788261
235626611,Atlantic Menhaden,2024-08-13 15:40:08-04:00,United States,"[40.1282069293, -74.1371273802]",research,,https://www.inaturalist.org/observations/235626611
233987947,Atlantic Menhaden,2024-08-04 00:17:00-04:00,United States,"[40.0208836838, -74.072429622]",research,,https://www.inaturalist.org/observations/233987947
