location,average_binge_drinking_prevalence_among_adults
New Hampshire,19.2353
Oklahoma,19.0
Oregon,18.9394
Indiana,18.8919
Minnesota,18.7083
Utah,18.5625
Illinois,18.5333
United States,18.4722
South Carolina,18.1429
Hawaii,18.0
Michigan,17.8929
Alabama,17.8718
Tennessee,17.8261
Arizona,17.8113
Kentucky,17.76
Wisconsin,17.7586
Nebraska,17.7143
Vermont,17.7037
Washington,17.5517
Idaho,17.48
West Virginia,17.4783
Iowa,17.4516
Mississippi,17.44
Missouri,17.3714
North Carolina,17.2059
District of Columbia,17.1905
Maryland,17.125
Virginia,17.0303
Nevada,17.0286
Puerto Rico,17.0
New Jersey,16.9545
Louisiana,16.8846
Kansas,16.8485
California,16.8462
Pennsylvania,16.8148
Montana,16.8077
Texas,16.7941
Rhode Island,16.7241
Alaska,16.7073
Arkansas,16.6739
Colorado,16.6471
New Mexico,16.6333
Ohio,16.5926
Connecticut,16.5769
Maine,16.5
Florida,16.5
South Dakota,16.25
Massachusetts,16.1538
Georgia,15.9688
New York,15.9167
Wyoming,15.625
Delaware,15.25
North Dakota,14.5333
